0.3578267732776065
977238655	0.22095826893353943
0175.png	0.19499137997627258	0.3218892878868154
0319.png	0.1957210898399353	0.1526801173103424
0178.png	0.19731563329696655	0.13169493848282693
0296.png	0.1974252164363861	0.5255948269405215
0325.png	0.1978895664215088	0.0382917100354924
0173.png	0.1980932056903839	0.30998367346938777
a41.png	0.19877083599567413	0.6094579731056261
0314.png	0.199134960770607	0.2257165916013642
0318.png	0.1993216872215271	0.5007747230073267
0285.png	0.19938750565052032	0.09994862096483269
0168.png	0.1997555047273636	0.43732225547564807
0256.png	0.20026487112045288	0.038102882159795695
0254.png	0.20090720057487488	0.330211391485504
0253.png	0.20122231543064117	0.6179363239913391
0070.png	0.20217512547969818	0.47782792556286935
0189.png	0.20245018601417542	0.6632260700786597
0157.png	0.20476263761520386	0.05964505427255452
0072.png	0.20831215381622314	0.16170589736788105
0248.png	0.20847709476947784	0.5976659472278858
0233.png	0.2087572067975998	0.26087750480874583
0235.png	0.20979297161102295	0.4988078090541409
0160.png	0.2107011079788208	0.12840324850854823
0210.png	0.21151220798492432	0.35770445610925533
0323.png	0.21205396950244904	0.10136414160126646
0040.png	0.21361511945724487	0.7275227346977599
0092.png	0.21408700942993164	0.2931108048935739
0120.png	0.21537989377975464	0.17771331758907485
0309.png	0.2158590406179428	0.5063089736282032
0077.png	0.21601131558418274	0.7121053487780359
0013.png	0.21766453981399536	0.38871405809674475
a12.png	0.21870537102222443	0.5027776026050416
a36.png	0.21992041170597076	0.434178893845161
0048.png	0.21999451518058777	0.1377095313838248
0275.png	0.22120074927806854	0.6577051953245296
0409.png	0.221961110830307	0.522272336579444
0286.png	0.22213271260261536	0.6693463524459781
0324.png	0.22311098873615265	0.057657681600435856
0239.png	0.22445730865001678	0.33470999977493193
0308.png	0.2249678522348404	0.11521617592247484
0320.png	0.2252904176712036	0.05505497558845711
a18.png	0.22555246949195862	0.1371903478372481
0054.png	0.22582674026489258	0.14290236631756667
0199.png	0.22648149728775024	0.3139246102435409
a52.png	0.22658832371234894	0.29322032833439093
a17.png	0.22668562829494476	0.11309900740819862
0430.png	0.2267659455537796	0.5325139146567718
0047.png	0.2275260090827942	0.4986418009933846
0304.png	0.22840341925621033	0.392983093499681
0414.png	0.22899609804153442	0.7100561415341189
0264.png	0.23061850666999817	0.3696416224936621
0288.png	0.2322213351726532	0.1473947597007766
0299.png	0.23321518301963806	0.27416266974278025
0303.png	0.2356398105621338	0.4700471141562172
0274.png	0.23587633669376373	0.7375150895700051
0174.png	0.23669832944869995	0.2290404071829461
0158.png	0.23833948373794556	0.3808973935994721
0305.png	0.23935893177986145	0.43685811707536193
0427.png	0.24109992384910583	0.583277649439661
a13.png	0.24132435023784637	0.5042622045068866
0208.png	0.2425459921360016	0.2666329459370442
0243.png	0.2425992786884308	0.37838248194884944
0255.png	0.2427607923746109	0.058355910452017684
0294.png	0.24340394139289856	0.31614922259202227
0246.png	0.2458556443452835	0.5842510418042729
